Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 07/01  21:30:00,26.15,0,24.16081802,24.65182552,26.48,0,15,26.48,0
 07/01  21:45:00,25.875,0,24.80997535,23.91165591,25.95,0,15,25.95,0
 07/01  22:00:00,25.6,0,21.88106179,23.16452633,21.38,0,15,21.38,6201950.651
 07/01  22:15:00,25.6,0,23.72770316,22.57002338,25.36,0,15,25.36,0
 07/01  22:30:00,25.6,0,24.2316337,22.07829703,27.93,0,15,27.93,0
 07/01  22:45:00,25.6,0,24.54661683,21.80941888,27.62,0,15,27.62,0
 07/01  23:00:00,25.6,0,23.55592085,21.61610182,23.54,0,15,23.54,2467413.48
 07/01  23:15:00,25.3,0,21.89695383,21.5249561,21.71,0,15,21.71,5839100.501
 07/01  23:30:00,25,0,23.3870978,21.49793471,25.3,0,15,25.3,0
 07/01  23:45:00,24.7,0,23.68210115,21.50673166,23.79,0,15,23.79,769431.6783
 07/01  24:00:00,24.4,0,24.14922942,21.53072486,27.04,0,15,27.04,0
 07/02  00:15:00,24,3,24.70237,21.56351038,27.08,0,15,27.08,0
 07/02  00:30:00,23.6,3,25.04074522,21.55525186,27.44,0,15,27.44,0
 07/02  00:45:00,23.2,3,22.51629802,21.49508228,22.19,0,15,22.19,4429937.119
 07/02  01:00:00,22.8,3,22.53505509,21.38148804,26.8,0,15,26.8,0
 07/02  01:15:00,22.8,0,21.8429172,21.27537598,21.82,0,15,21.82,3617388.766
 07/02  01:30:00,22.8,0,22.76235903,21.1254361,25.2,0,15,25.2,0
 07/02  01:45:00,22.8,0,23.61289482,21.02089808,27.78,0,15,27.78,0
 07/02  02:00:00,22.8,0,23.58653774,20.9652889,26.48,0,15,26.48,0
 07/02  02:15:00,22.8,0,23.61393623,20.86142228,27.92,0,15,27.92,0
 07/02  02:30:00,22.8,0,21.88853862,20.7188192,21.76,0,15,21.76,3699064.564
 07/02  02:45:00,22.8,0,22.03694505,20.48423853,25.18,0,15,25.18,0
 07/02  03:00:00,22.8,0,22.64689549,20.23213117,26.97,0,15,26.97,0
 07/02  03:15:00,22.65,0,22.07909895,19.95228152,22.06,0,15,22.06,1758424.202
 07/02  03:30:00,22.5,0,20.84926517,19.6296235,20.81,0,15,20.81,4652813.359
 07/02  03:45:00,22.35,0,21.91416628,19.37891332,25.2,0,15,25.2,0
 07/02  04:00:00,22.2,0,22.26187854,19.12121805,26.08,0,15,26.08,0
 07/02  04:15:00,22.35,0,20.63784003,18.91844084,20.5,0,15,20.5,4135657.362
 07/02  04:30:00,22.5,0,21.63743694,18.78020218,27.9,0,15,27.9,0
 07/02  04:45:00,22.65,0,22.01292241,18.62389428,24.1,0,15,24.1,0
 07/02  05:00:00,22.8,0,20.23720061,18.50392011,20.08,0,15,20.08,4472449.434
 07/02  05:15:00,22.525,0,20.78088952,18.38684002,20.79,0,15,20.79,1814466.149
 07/02  05:30:00,22.25,0,21.44985373,18.24880517,23.9,0,15,23.9,0
 07/02  05:45:00,21.975,0,21.79756977,18.20000216,25.44,0,15,25.44,0
 07/02  06:00:00,21.7,0,22.05991321,18.310214,22.06,0,15,22.06,490132.6945
 07/02  06:15:00,22.1,0,22.4127841,18.64395255,25.49,0,15,25.49,0
 07/02  06:30:00,22.5,0,22.74159098,19.19929934,24.34,0,15,24.34,0
 07/02  06:45:00,22.9,0,23.07070338,20.13423616,24.47,0,15,24.47,0
 07/02  07:00:00,23.3,0,23.39562066,21.40482106,24.06,0,15,24.06,0
 07/02  07:15:00,23.725,0,23.73020345,23.06543929,25.19,0,15,25.19,0
 07/02  07:30:00,24.15,0,21.592257,24.77038614,21.3,0,15,21.3,5460494.295
 07/02  07:45:00,24.575,0,22.97107542,27.11500134,24.09,0,15,24.09,0
 07/02  08:00:00,25,0,24.15628567,29.58417642,25.66,0,15,25.66,0
 07/02  08:15:00,25.55,0,24.57928868,31.56241605,24.89,0,15,24.89,30501.89036
 07/02  08:30:00,26.1,0,21.33377061,33.61132048,20.32,0,15,20.32,9019555.831
 07/02  08:45:00,26.65,0,23.28322926,35.84244418,25.08,0,15,25.08,0
 07/02  09:00:00,27.2,0,24.07500695,37.9235798,25.44,0,15,25.44,0
 07/02  09:15:00,27.625,0,22.12743143,40.23268899,21.55,0,15,21.55,7572215.507
 07/02  09:30:00,28.05,0,24.0015228,41.8568991,26.35,0,15,26.35,0
 07/02  09:45:00,28.475,0,25.39513771,43.76605747,25.52,0,15,25.52,522546.5895
 07/02  10:00:00,28.9,0,23.33454941,45.20198488,23.12,0,15,23.12,5714450.288
 07/02  10:15:00,29.025,0,22.95439582,46.84454172,22.95,0,15,22.95,5894781.975
 07/02  10:30:00,29.15,0,22.39817141,48.12926958,22.38,0,15,22.38,7018981.65
 07/02  10:45:00,29.275,0,23.65856819,49.61283315,23.82,0,15,23.82,2642023.112
 07/02  11:00:00,29.4,0,25.07537909,50.8222613,26.34,0,15,26.34,0
 07/02  11:15:00,29.7,0,21.55253977,52.06954114,20.33,0,15,20.33,8827780.182
 07/02  11:30:00,30,0,24.18417659,53.23967892,27.57,0,15,27.57,0
 07/02  11:45:00,30.3,0,22.12716865,54.40169469,21.11,0,15,21.11,8682220.51
 07/02  12:00:00,30.6,0,23.88084995,55.2868666,24.89,0,15,24.89,703518.9626
 07/02  12:15:00,30.45,0,24.34335957,55.98340602,24.45,0,15,24.45,1822437.49
 07/02  12:30:00,30.3,0,25.66731192,56.72308218,27.81,0,15,27.81,0
 07/02  12:45:00,30.15,0,27.00594014,57.44772941,27.28,0,15,27.28,119459.5936
 07/02  13:00:00,30,0,23.28001624,57.91675832,22.26,0,15,22.26,7861734.461
 07/02  13:15:00,30.15,0,23.66324056,58.16293927,23.69,0,15,23.69,5318324.818
 07/02  13:30:00,30.3,0,25.33201591,58.23383531,25.78,0,15,25.78,1199624.827
 07/02  13:45:00,30.45,0,25.69749309,58.01717868,25.7,0,15,25.7,2421743.163
 07/02  14:00:00,30.6,0,25.05857882,57.52030897,25.02,0,15,25.02,4198937.428
 07/02  14:15:00,30.45,0,25.63516952,56.84763917,25.64,0,15,25.64,3060928.744
 07/02  14:30:00,30.3,0,24.78817299,55.947982,24.75,0,15,24.75,5495440.028
 07/02  14:45:00,30.15,0,23.79795962,55.10725156,23.74,0,15,23.74,7659477.228
 07/02  15:00:00,30,0,22.47650949,54.50905175,21.73,0,15,21.73,10929129.51
 07/02  15:15:00,30,0,21.84349062,53.95017198,20.2,0,15,20.2,10761477.2
 07/02  15:30:00,30,0,22.54058081,53.38278755,22.56,0,15,22.56,6715562.012
 07/02  15:45:00,30,0,24.36705847,52.67902795,24.71,0,15,24.71,2194558.35
 07/02  16:00:00,30,0,21.87622725,51.80050752,20.42,0,15,20.42,10762562.7
 07/02  16:15:00,30.15,0,24.18706322,50.80725975,27.34,0,15,27.34,0
 07/02  16:30:00,30.3,0,22.62079499,49.96632542,22.54,0,15,22.54,5864885.444
 07/02  16:45:00,30.45,0,23.48805291,48.97469705,23.49,0,15,23.49,5238726.182
 07/02  17:00:00,30.6,0,25.67815844,48.07059762,27.67,0,15,27.67,0
 07/02  17:15:00,30.6,0,23.36337057,46.92718262,23.11,0,15,23.11,5860771.271
 07/02  17:30:00,30.6,0,25.96116875,45.58962629,27.82,0,15,27.82,0
 07/02  17:45:00,30.6,0,22.73245591,44.08343551,21.86,0,15,21.86,8541619.394
 07/02  18:00:00,30.6,0,24.98526622,42.49915041,25.37,0,15,25.37,2116855.193
 07/02  18:15:00,30.175,0,22.68633532,40.81060024,21.8,0,15,21.8,9771191.754
 07/02  18:30:00,29.75,0,21.44118908,39.3658685,20.33,0,15,20.33,10713110.78
 07/02  18:45:00,29.325,0,22.93008567,38.04567563,23.12,0,15,23.12,3968040.836
 07/02  19:00:00,28.9,0,24.87848401,36.9255769,26.81,0,15,26.81,0
 07/02  19:15:00,28.75,0,22.7189065,35.7577507,22.51,0,15,22.51,5172863.358
 07/02  19:30:00,28.6,0,24.90201212,34.44737219,26.2,0,15,26.2,0
 07/02  19:45:00,28.45,0,25.66401043,32.94570592,25.68,0,15,25.68,1408689.208
 07/02  20:00:00,28.3,0,24.39398399,31.71536191,24.37,0,15,24.37,4269719.524
 07/02  20:15:00,28.175,0,25.79534058,30.77854113,26.51,0,15,26.51,0
 07/02  20:30:00,28.05,0,23.21736214,29.8420424,22.84,0,15,22.84,5656482.065
 07/02  20:45:00,27.925,0,21.36853889,28.8680712,20.56,0,15,20.56,10992897.38
 07/02  21:00:00,27.8,0,21.35122788,28.28348529,21.35,0,15,21.35,7756088.656
 07/02  21:15:00,27.525,0,23.51012848,27.65088485,26.14,0,15,26.14,0
 07/02  21:30:00,27.25,0,24.3085846,27.14357051,26.48,0,15,26.48,0
 07/02  21:45:00,26.975,0,24.97819983,26.76383278,25.95,0,15,25.95,0
 07/02  22:00:00,26.7,0,21.98198774,26.42677583,21.38,0,15,21.38,6935908.689
 07/02  22:15:00,26.55,0,23.91056353,26.18021988,25.36,0,15,25.36,0
 07/02  22:30:00,26.4,0,24.48580881,25.93853121,27.93,0,15,27.93,0
 07/02  22:45:00,26.25,0,24.80536901,25.75401757,27.62,0,15,27.62,0
 07/02  23:00:00,26.1,0,23.53505232,25.54356898,23.54,0,15,23.54,3447377.026
 07/02  23:15:00,25.975,0,21.94421252,25.35953624,21.71,0,15,21.71,7027097.75
 07/02  23:30:00,25.85,0,23.55878411,25.20003933,25.3,0,15,25.3,0
 07/02  23:45:00,25.725,0,23.84382133,25.03188184,23.79,0,15,23.79,2796241.586
 07/02  24:00:00,25.6,0,24.26471856,24.94564559,27.04,0,15,27.04,0
 07/03  00:15:00,25.45,3,24.69649799,24.84880169,27.08,0,15,27.08,0
 07/03  00:30:00,25.3,3,24.92928002,24.76529872,27.44,0,15,27.44,0
 07/03  00:45:00,25.15,3,22.53767888,24.66720979,22.19,0,15,22.19,5003102.869
 07/03  01:00:00,25,3,23.80162973,24.58248793,26.8,0,15,26.8,0
 07/03  01:15:00,25,0,22.00146734,24.48976269,21.82,0,15,21.82,4893547.464
 07/03  01:30:00,25,0,23.15715641,24.42180464,25.2,0,15,25.2,0
 07/03  01:45:00,25,0,23.65734037,24.33906651,27.78,0,15,27.78,0
 07/03  02:00:00,25,0,23.87765261,24.28405229,26.48,0,15,26.48,0
 07/03  02:15:00,24.85,0,24.38428678,24.17977103,27.92,0,15,27.92,0
 07/03  02:30:00,24.7,0,22.09772874,24.12444142,21.76,0,15,21.76,4800229.207
 07/03  02:45:00,24.55,0,22.2614364,24.04531606,25.18,0,15,25.18,0
 07/03  03:00:00,24.4,0,23.09719811,23.96418261,26.97,0,15,26.97,0
 07/03  03:15:00,24.4,0,22.09839828,23.87763051,22.06,0,15,22.06,3304501.616
 07/03  03:30:00,24.4,0,20.96416775,23.73234817,20.81,0,15,20.81,6815537.502
 07/03  03:45:00,24.4,0,22.1587274,23.47759422,25.2,0,15,25.2,0
 07/03  04:00:00,24.4,0,22.64041537,23.24992639,26.08,0,15,26.08,0
 07/03  04:15:00,24.4,0,20.75049858,22.98380216,20.5,0,15,20.5,6002914.207
 07/03  04:30:00,24.4,0,22.02887075,22.81598436,27.9,0,15,27.9,0
 07/03  04:45:00,24.4,0,22.54197913,22.69620885,24.1,0,15,24.1,0
 07/03  05:00:00,24.4,0,20.43277754,22.68866515,20.08,0,15,20.08,6240706.728
 07/03  05:15:00,24.4,0,20.77525497,22.74087887,20.79,0,15,20.79,3452664.141
 07/03  05:30:00,24.4,0,21.82761053,22.76837938,23.9,0,15,23.9,0
 07/03  05:45:00,24.4,0,22.30031906,22.78154709,25.44,0,15,25.44,0
 07/03  06:00:00,24.4,0,22.10927184,22.81159812,22.06,0,15,22.06,2226737.741
 07/03  06:15:00,24.4,0,22.66988768,22.87434197,25.49,0,15,25.49,0
 07/03  06:30:00,24.4,0,22.996031,23.0184007,24.34,0,15,24.34,0
 07/03  06:45:00,24.4,0,23.23806957,23.26274039,24.47,0,15,24.47,0
 07/03  07:00:00,24.4,0,23.74850845,23.72399684,24.06,0,15,24.06,0
 07/03  07:15:00,24.7,0,23.91292339,24.30662473,25.19,0,15,25.19,0
 07/03  07:30:00,25,0,21.70067473,25.08276359,21.3,0,15,21.3,6574968.702
 07/03  07:45:00,25.3,0,23.01908967,25.92079534,24.09,0,15,24.09,0
 07/03  08:00:00,25.6,0,23.44210629,26.7318486,25.66,0,15,25.66,0
 07/03  08:15:00,25.875,0,23.90693084,27.38709132,24.89,0,15,24.89,0
